Product_Name,Total,Selling_Price,Offer,Ratings,Description
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹11,499","₹8,123",29% off,4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 13MP + 2MP | 5MP Front Camera 5000 mAh Battery MediaTek Helio P35 Processor 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"REDMI A1+ (Light Blue, 32 GB)","₹9,999","₹6,299",37% off,4.2,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB 16.56 cm (6.52 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Lithium Polymer Battery Mediatek Helio A22 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"REDMI 11 Prime (Flashy Black, 64 GB)","₹14,999","₹10,999",26% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 16.71 cm (6.58 inch) Full HD+ Display 50MP + 2MP + 2MP | 8MP Front Camera 5000 mAh Battery Helio G99 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹11,499","₹8,499",26% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD Display 13MP + 2MP | 5MP Front Camera 5000 mAh Lithium-Ion Battery Mediatek Helio P35 Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"REDMI 11 Prime (Peppy Purple, 64 GB)","₹14,999","₹10,999",26% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 16.71 cm (6.58 inch) Full HD+ Display 50MP + 2MP + 2MP | 8MP Front Camera 5000 mAh Battery Helio G99 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹11,499","₹8,499",26% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD Display 13MP + 2MP | 5MP Front Camera 5000 mAh Lithium-Ion Battery Mediatek Helio P35 Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"REDMI 12C (Lavender Purple, 64 GB)","₹13,999","₹8,714",37% off,4.2,4 GB RAM | 64 GB ROM 17.04 cm (6.71 inch) Display 50MP Rear Camera 5000 mAh Battery Domestic warranty of 12 months on phone & 6 months on accessories
"vivo Y02 (Orchid Blue, 32 GB)","₹12,999","₹8,499",34% off,4.3,3 GB RAM | 32 GB ROM 16.54 cm (6.51 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery MediaTek P22 Processor 1 Year of Device & 6 Months for In-Box Accessories
"Infinix NOTE 12i (Alpine White, 64 GB)","₹12,999","₹9,999",23% off,N/A,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 17.02 cm (6.7 inch) Full HD+ AMOLED Display 50 MP + 2 MP + QVGA | 8MP Front Camera 5000 mAh Lithium-ion Polymer Battery Mediatek Helio G85 Processor 1 Year on Handset and 6 Months on Accessories
"POCO C31 (Shadow Gray, 64 GB)","₹11,999","₹7,499",37% off,4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 16.59 cm (6.53 inch) HD+ Display 13MP + 2MP + 2MP | 5MP Front Camera 5000 mAh Lithium-ion Polymer Battery MediaTek Helio G35 Processor 1 Year Warranty for Handset, 6 Months for Accessories"
"SAMSUNG Galaxy M04 (Light Green, 128 GB)","₹13,499","₹9,335",30% off,4.1,4 GB RAM | 128 GB ROM 16.51 cm (6.5 inch) HD+ Display 13MP + 2MP 5000 mAh Battery MediaTek Helio P35 Processor 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories
"Infinix NOTE 12i (Metaverse Blue, 64 GB)","₹12,999","₹9,999",23% off,N/A,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 17.02 cm (6.7 inch) Full HD+ AMOLED Display 50 MP + 2 MP + QVGA | 8MP Front Camera 5000 mAh Lithium-ion Polymer Battery Mediatek Helio G85 Processor 1 Year on Handset and 6 Months on Accessories
"OPPO A17k (Blue, 64 GB)","₹12,999","₹9,499",26% off,4.5,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB 16.66 cm (6.56 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery Mediatek Helio P35 Processor 1 Year on Handset and 6 Months on Accessories
"REDMI 10 (Sunrise Orange, 64 GB)","₹14,999","₹9,999",33% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.02 cm (6.7 inch) HD+ Display 50MP + 2MP | 5MP Front Camera 6000 mAh Lithium Polymer Battery Qualcomm Snapdragon 680 Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"REDMI 10 (Shadow Black, 64 GB)","₹14,999","₹9,999",33% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.02 cm (6.7 inch) HD+ Display 50MP + 2MP | 5MP Front Camera 6000 mAh Lithium Polymer Battery Qualcomm Snapdragon 680 Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Infinix NOTE 12i (Force Black, 64 GB)","₹12,999","₹9,999",23% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 17.02 cm (6.7 inch) Full HD+ AMOLED Display 50 MP + 2 MP + QVGA | 8MP Front Camera 5000 mAh Lithium-ion Polymer Battery Mediatek Helio G85 Processor 1 Year on Handset and 6 Months on Accessories
"vivo Y02 (Cosmic Grey, 32 GB)","₹12,999","₹8,499",34% off,4.3,3 GB RAM | 32 GB ROM 16.54 cm (6.51 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery MediaTek P22 Processor 1 Year of Device & 6 Months for In-Box Accessories
"realme Narzo 50i (Carbon Black, 64 GB)","₹9,999","₹9,998",N/A,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.51 cm (6.5 inch) Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery SC9863A Processor 1 Year Warranty for Mobile and 6 Months for Accessories
"REDMI 9 Activ (Coral Green, 128 GB)","₹12,999","₹9,499",26% off,4.2,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB 16.59 cm (6.53 inch) HD+ Display 13MP + 2MP | 5MP Front Camera 5000 mAh Lithium Polymer Battery Mediatek Helio G35 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"SAMSUNG Galaxy A03 Core (Onyx, 32 GB)","₹10,490","₹6,985",33% off,4.1,"2 GB RAM | 32 GB ROM 16.51 cm (6.5 inch) Display 8MP Rear Camera 5000 mAh Battery 12 Months brand Warranty , Domestic Only"
"MOTOROLA e22s (Eco Black, 64 GB)","₹10,999","₹8,799",20% off,3.9,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 16MP + 2MP | 8MP Front Camera 5000 mAh Lithium Polymer Battery Mediatek Helio G37 Processor 1 Year on Handset and 6 Months on Accessories
"REDMI 12C (Matte Black, 64 GB)","₹13,999","₹8,820",36% off,4.2,4 GB RAM | 64 GB ROM 17.04 cm (6.71 inch) Display 50MP Rear Camera 5000 mAh Battery Domestic warranty of 12 months on phone & 6 months on accessories
"realme C30s (Stripe Blue, 64 GB)","₹11,999","₹8,599",28% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Lithium Ion Battery Unisoc SC9863A/ Unisoc SC9863A1 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"REDMI A1 (Light Blue, 32 GB)","₹8,999","₹6,699",25% off,4.2,2 GB RAM | 32 GB ROM 16.56 cm (6.52 inch) Display 5MP Rear Camera 5000 mAh Battery 12 months
"OPPO A17k (Navy Blue, 64 GB)","₹12,999","₹9,499",26% off,4.5,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB 16.66 cm (6.56 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery Mediatek Helio P35 Processor 1 Year on Handset and 6 Months on Accessories
"REDMI 10 (Caribbean Green, 64 GB)","₹14,999","₹9,999",33% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.02 cm (6.7 inch) HD+ Display 50MP + 2MP | 5MP Front Camera 6000 mAh Lithium Polymer Battery Qualcomm Snapdragon 680 Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO A17K (Navy Blue, 64 GB)","₹12,999","₹9,899",23% off,4.5,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB 16.66 cm (6.56 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery Mediatek Helio G35 Processor 1 Year on Handset and 6 Months on Accessories
"OPPO A17k (Gold, 64 GB)","₹12,999","₹9,499",26% off,4.5,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB 16.66 cm (6.56 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery Mediatek Helio P35 Processor 1 Year on Handset and 6 Months on Accessories
"realme C25s (Watery Grey, 128 GB)","₹11,999","₹9,999",16% off,4.4,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB 16.51 cm (6.5 inch) HD+ Display 13MP + 2MP + 2MP | 8MP Front Camera 6000 mAh Battery MediaTek Helio G85 Processor 1 Year Warranty for Mobile and 6 Months for Accessories
"realme Narzo 50i Prime (Dark Blue, 64 GB)","₹9,999","₹8,979",10% off,4.2,4 GB RAM | 64 GB ROM 16.51 cm (6.5 inch) Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery Unisoc T612 processor Processor 1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"REDMI 9 Activ (Metallic Purple, 64 GB)","₹10,999","₹9,980",9% off,4.2,4 GB RAM | 64 GB ROM 16.59 cm (6.53 inch) Display 13MP Rear Camera 5000 mAh Battery 12 months
"REDMI 9 Activ (Coral Green, 64 GB)",N/A,"₹10,999",N/A,4.2,4 GB RAM | 64 GB ROM 16.59 cm (6.53 inch) Display 13MP Rear Camera 5000 mAh Battery 12 months
"Tecno Spark Go 2023 (Endless Black, 64 GB)","₹9,999","₹8,090",19% off,4.3,"4 GB RAM | 64 GB ROM 16.66 cm (6.56 inch) Display 13MP Rear Camera 5000 mAh Battery 2?GHz, Quad Core Processor Processor Domestic Warranty of 1 Year Available for handset and 6 month for Accessories."
"realme C11 2021 (Cool Grey, 64 GB)",N/A,"₹9,999",N/A,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.51 cm (6.5 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery Octa-core Processor 1 Year Warranty for Mobile and 6 Months for Accessories
"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)","₹13,499","₹10,470",22% off,4.1,4 GB RAM | 128 GB ROM 16.51 cm (6.5 inch) HD+ Display 13MP + 2MP 5000 mAh Battery MediaTek Helio P35 Processor 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories
"REDMI 10 (Midnight Black, 64 GB)","₹14,999","₹9,999",33% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.02 cm (6.7 inch) HD+ Display 50MP + 2MP | 5MP Front Camera 6000 mAh Lithium Polymer Battery Qualcomm Snapdragon 680 Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme C21 (Cross Black, 32 GB)","₹9,999","₹9,499",5% off,4.4,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB 16.51 cm (6.5 inch) HD+ Display 13MP + 2MP + 2MP | 5MP Front Camera 5000 mAh Battery MediaTek Helio G35 Processor 1 Year Warranty for Mobile and 6 Months for Accessories
"SAMSUNG Galaxy A03 Core (Bronze, 32 GB)","₹10,499","₹7,185",31% off,4.1,2 GB RAM | 32 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery 1 Year of Device & 6 Months for In-Box Accessories
"REDMI 10 (Midnight Black, 64 GB)","₹14,999","₹9,999",33% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.02 cm (6.7 inch) HD+ Display 50MP + 2MP | 5MP Front Camera 6000 mAh Lithium Polymer Battery Qualcomm Snapdragon 680 Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"SAMSUNG Galaxy A03 Core (Bronze, 32 GB)","₹10,499","₹7,185",31% off,4.1,2 GB RAM | 32 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery 1 Year of Device & 6 Months for In-Box Accessories
"realme C21 (Cross Black, 32 GB)","₹9,999","₹9,499",5% off,4.4,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB 16.51 cm (6.5 inch) HD+ Display 13MP + 2MP + 2MP | 5MP Front Camera 5000 mAh Battery MediaTek Helio G35 Processor 1 Year Warranty for Mobile and 6 Months for Accessories
"Redmi 9 (Sky Blue, 64 GB)","₹10,999","₹10,249",6% off,4.2,4 GB RAM | 64 GB ROM 16.59 cm (6.53 inch) HD+ Display 13MP + 2MP | 5MP Front Camera 5000 mAh Battery MediaTek Helio G35 Processor 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"REDMI 10 (Pacific Blue, 64 GB)","₹14,999","₹9,999",33% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.02 cm (6.7 inch) HD+ Display 50MP + 2MP | 5MP Front Camera 6000 mAh Lithium Polymer Battery Qualcomm Snapdragon 680 Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme C33 2023 (Sandy Gold, 64 GB)","₹12,999","₹9,999",23% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 50MP + 0.3MP | 5MP Front Camera 5000 mAh Lithium Ion Battery Unisoc T612 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme C33 2023 (Aqua Blue, 64 GB)","₹12,999","₹9,999",23% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 50MP + 0.3MP | 5MP Front Camera 5000 mAh Lithium Ion Battery Unisoc T612 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme C33 2023 (Night Sea, 64 GB)","₹12,999","₹9,999",23% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 50MP + 0.3MP | 5MP Front Camera 5000 mAh Lithium Ion Battery Unisoc T612 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"REDMI 12C (Royal Blue, 64 GB)","₹13,999","₹9,249",33% off,4.2,4 GB RAM | 64 GB ROM 17.04 cm (6.71 inch) Display 50MP Rear Camera 5000 mAh Battery Domestic warranty of 12 months on phone & 6 months on accessories
"Redmi 9A Sport (Metallic Blue, 32 GB)","₹9,499","₹8,490",10% off,4.1,2 GB RAM | 32 GB ROM 16.59 cm (6.53 inch) Display 13MP Rear Camera 5000 mAh Battery 1 Year Warranty
"REDMI A1 (Light Blue, 32 GB)","₹8,999","₹6,699",25% off,4.2,2 GB RAM | 32 GB ROM 16.56 cm (6.52 inch) Display 5MP Rear Camera 5000 mAh Battery 12 months
"Infinix Hot 11 (Emerald Green, 64 GB)","₹11,999","₹9,999",16% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.76 cm (6.6 inch) Full HD+ Display 13MP + Depth Lens | 8MP Front Camera 5200 mAh Li-ion Polymer Battery MediaTek Helio G70 Processor 1 Year on Handset and 6 Months on Accessories
"Infinix Hot 11 (Silver Wave, 64 GB)","₹11,999","₹9,999",16% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.76 cm (6.6 inch) Full HD+ Display 13MP + Depth Lens | 8MP Front Camera 5200 mAh Li-ion Polymer Battery MediaTek Helio G70 Processor 1 Year on Handset and 6 Months on Accessories
"REDMI 9 Activ (Carbon Black, 64 GB)","₹10,999","₹9,999",9% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 16.59 cm (6.53 inch) HD+ Display 13MP + 2MP | 5MP Front Camera 5000 mAh Lithium Polymer Battery Mediatek Helio G35 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"realme C33 (Night Sea, 64 GB)","₹12,999","₹9,999",23% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 50MP + 0.3MP | 5MP Front Camera 5000 mAh Lithium Ion Battery Unisoc T612 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"realme C33 (Aqua Blue, 64 GB)","₹12,999","₹9,999",23% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 50MP + 0.3MP | 5MP Front Camera 5000 mAh Lithium Ion Battery Unisoc T612 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Infinix Hot 12 Pro (Halo White, 64 GB)","₹13,999","₹9,999",28% off,4.2,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.76 cm (6.6 inch) HD+ Display 50 MP + Depth Lens | 8MP Front Camera 5000 mAh Lithium-ion Polymer Battery Unisoc T616 Processor 1 Year on Handset and 6 Months on Accessories
"Infinix Hot 11 2022 (Aurora Green, 64 GB)","₹12,999","₹9,999",23% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.02 cm (6.7 inch) Full HD+ Display 13 MP + 2 MP Depth Lens | 8MP Front Camera 5000 mAh Li-ion Polymer Battery UniSoc T610 Processor 1 Year on Handset and 6 Months on Accessories
"LAVA Blaze Pro (Glass Orange, 64 GB)","₹12,999","₹9,024",30% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.51 cm (6.5 inch) HD+ Display 50MP Rear Camera | 8MP Front Camera 5000 mAh Lithium Polymer Battery Mediatek G37 Octa Core Processor Processor 1 Year Handset Warranty and 6 Months Warranty on Accessories
"Tecno Spark 8P (Atlantic Blue, 64 GB)","₹14,499","₹8,990",37% off,4.2,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 16.76 cm (6.6 inch) Full HD+ Display 50MP + 2MP | 8MP Front Camera 5000 mAh Battery MediaTek Helio G85 Processor 1 Year Warranty for Handset, 6 Months for Accessories"
"Infinix Hot 11 2022 (Sunset Gold, 64 GB)","₹12,999","₹9,999",23% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.02 cm (6.7 inch) Full HD+ Display 13 MP + 2 MP Depth Lens | 8MP Front Camera 5000 mAh Li-ion Polymer Battery UniSoc T610 Processor 1 Year on Handset and 6 Months on Accessories
"Infinix Hot 11 2022 (Polar Black, 64 GB)","₹12,999","₹9,999",23% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 17.02 cm (6.7 inch) Full HD+ Display 13 MP + 2 MP Depth Lens | 8MP Front Camera 5000 mAh Li-ion Polymer Battery UniSoc T610 Processor 1 Year on Handset and 6 Months on Accessories
"Infinix Hot 12 Pro (Racing Black, 64 GB)","₹13,999","₹9,999",28% off,4.2,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.76 cm (6.6 inch) HD+ Display 50 MP + Depth Lens | 8MP Front Camera 5000 mAh Lithium-ion Polymer Battery Unisoc T616 Processor 1 Year on Handset and 6 Months on Accessories
"Infinix Hot 12 Pro (Lightsaber Green, 64 GB)","₹13,999","₹9,999",28% off,4.2,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.76 cm (6.6 inch) HD+ Display 50 MP + Depth Lens | 8MP Front Camera 5000 mAh Lithium-ion Polymer Battery Unisoc T616 Processor 1 Year on Handset and 6 Months on Accessories
"Nokia C31 (CYAN, 64 GB)","₹10,999","₹9,999",9% off,3.5,4 GB RAM | 64 GB ROM 17.12 cm (6.74 inch) Display 13MP Rear Camera 5050 mAh Battery 1 year domestic replacement guarantee
"realme C35 (Glowing Black, 64 GB)","₹13,999","₹9,699",30% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.76 cm (6.6 inch) Full HD+ Display 50MP + 2MP + 0.3MP | 8MP Front Camera 5000 mAh Lithium Polymer Battery Unisoc Tiger T616 Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"MOTOROLA e32s (Slate Gray, 64 GB)","₹12,999","₹9,999",23% off,3.9,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 16MP + 2MP + 2MP | 8MP Front Camera 5000 mAh Lithium Battery Mediatek Helio G37 Processor 1 Year on Handset and 6 Months on Accessories
"Tecno Spark Go 2023 (Orange, 64 GB)","₹9,999","₹7,999",20% off,4.3,4 GB RAM | 64 GB ROM 16.66 cm (6.56 inch) Display 13MP Rear Camera 5000 mAh Battery Domestic Warranty of 12 Months on Phone & 6 Months on Accessories
"Nokia C31 (Charcoal, 32 GB)","₹11,999","₹7,999",33% off,4.1,3 GB RAM | 32 GB ROM 17.12 cm (6.74 inch) Display 13MP Rear Camera 5050 mAh Battery With a 1-year domestic replacement guarantee.
"OPPO A16E (Midnight Black, 32 GB)","₹13,990","₹9,790",30% off,4.3,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB 16.56 cm (6.52 inch) HD+ Display 13MP Rear Camera | 5MP Front Camera 4230 mAh Battery Mediatek Helio P22 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"vivo Y1S (Aurora Blue, 32 GB)","₹10,990","₹9,999",9% off,3.8,2 GB RAM | 32 GB ROM 15.8 cm (6.22 inch) Display 13MP Rear Camera | 5MP Front Camera 4030 mAh Battery 1 Year for Handset and 6 Months for In-box Accessories
"Tecno Spark 9T (Atlantic Blue, 64 GB)","₹10,999","₹8,999",18% off,4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 16.76 cm (6.6 inch) Full HD+ Display 50MP + 2MP | 8MP Front Camera 5000 mAh Battery MediaTek Helio G35 Processor 1 Year Warranty for Handset, 6 Months for Accessories"
"SAMSUNG Galaxy A04e (Copper, 64 GB)","₹11,990","₹9,940",17% off,4.2,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 13MP + 2MP | 5MP Front Camera 5000 mAh Lithium Ion Battery Mediatek Helio P35 Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"Tecno Spark 8C (Turquoise Cyan, 64 GB)","₹10,999","₹9,990",9% off,4.2,3 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.76 cm (6.6 inch) HD+ Display 13MP Rear Camera | 8MP Front Camera 5000 mAh Battery Unisoc T606 Processor 1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories
"Tecno Spark 9 (Sky Mirror, 64 GB)","₹11,499","₹8,890",22% off,4.1,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 16.76 cm (6.6 inch) HD+ Display 13MP Rear Camera | 8MP Front Camera 5000 mAh Battery MediaTek Helio G37 Processor 1 Year Warranty for Handset, 6 Months for Accessories"
"LAVA YUVA 2 PRO (Glass Green, 64 GB)","₹9,999","₹8,498",15% off,4.1,4 GB RAM | 64 GB ROM 16.51 cm (6.5 inch) Display 13MP Rear Camera 5000 mAh Battery 1 Year Handset Domestic Warranty and 6 Months Warranty on Accessories
"Redmi 9A Sport (Carbon Black, 32 GB)","₹9,499","₹8,990",5% off,4.2,3 GB RAM | 32 GB ROM 16.59 cm (6.53 inch) Display 13MP Rear Camera 5000 mAh Battery 1 Year Warranty
